2,4,1,6,75,1,2,12,3,70,22,1,36,1,24,2,6,1,8,1,2,220,3,1,1,24,70,1,8,1,4,1,8,7,2,1,8,1,3900,3,1,1,8,1,4,7,6,1,60,6,5,1,2,6,1,1008,1,2,6,1,2,4,35,1,6,36,4,1,9,4,2,24,1,4,1,8,2,150,1,1,3,8,15,126,10,1,2,1,2,24,1,10,3,1,1,12,40,
1,1,1,1,1,12,56,2,1,6,24,1,16,896,6,1,1,216,18,2,84,1,40,8,2,2,1,56,1,128,1,4,1,8,3,2,1,72,2,1440,4,2,90,1,2,6,2,120,1,70,10,8,1,12,1,15,84,1,4,42,24,3,700,4,2,8,1,3300,1,6,2,1,20,16,1,288,1,8,48,1,2,1,4,3,1,2,560,3,1,1,3,160,40,1,108,1,14,
2,12,81,1,1,90,18,24,1,1,3,72,1,12,1,288,2,4,1,600,1,96,1,18,9,8,36,1,180,1,4,2688,12,1,18,12,192,2,1,3,16,1,8,9,960,8,1,10,24,3,2,1,360,1,90,1,2,3000,1,6,3,1,4,162,1,1,18,2,4,48,6,6552,1,3,9,2,6,1,105,6,12,252,1,8,4,1,3,24,105,24,3,2,1,432,3,2,1,
5,1,12,3,6,1,5,56,168,60,1,2,12,1,270,1,12,648,10,2,48,1,56,4,1,2,1,48,5,12,2,1,6,1632,5,48,2,1,36,6,15,1800,2,2,24,2,360,1,4,18,12,12,1,72,1,4,600,1,1560,2,96,6,1,1,18,2,1536,1,24,6,1,8,320,1,28,1,20,6,1,2,3,15,6720,1,1,6,48,1,2,24,1,6,4,1,30,1,2,
1,24,1,1,3,48,2,12,2,1,315,1,30,1,1,60,1,4,3,1,1,48,1,96,1,4,2,8400,48,1,8,60,1,8,1,6,432,2,1,9,2,1,1755,1,1,1,72,12,2,1,3,1,60,1,2,676,1,24,3,1,3,48,6,2,90,30,2,6,9425,1,160,1,1,2,4,90,1,2,12,4,350,1,2,120,2,40,1,140,1,24,1,1,27,4,1,180,3,
1,1,36,36,294,3,1,1,120,1,4,1344,1,24,2,6,6,1,4,72,8,1,6,144,3,2,216,1,8,8,1,2,24948,1,8,1,12,40,2,1,12,2,120,60,2,2,2,1,36,2,432,1,144,4,6,192,3,4,1,72,4,6,4,2592,1,1,2,1,15,2,1,12,12150,12,6,2,6,75,4,1,1632,2,1,6,480,1,36,1,8,75,12,2,540,36,1,8,1,
1,210,2,1,15,16,2,64,3,3,1,36,4,1,36,1,630,12,1,9,1,4,27,1,2,378,2,1,24,1,4,6,528,15,12,1,2,1,18,5,120,12,2,1,2,966,1,8,18,11200,1,14,2,1232,1,1,54,1,8,1,2,5,135,1,4,2016,2,4,3,96,4,1,2,672,2,1,3,336,1,4,1,1008,36,1,2,84,2,3360,1,2,1,120,1,1,18,1,1,
1,6,30,16,3,360,1,3,9,280,12,2,1,96,3,1,1,3,2,100,24,6,2,1536,144,1,32,9,3,4,240,40,1,16,1,80,2,32,1,5760,48,4,48,8,128,80,12,288,5,2,792,16,1,528,24,6,1,90,3,4,72,2,560,2,8,1,432,20,1,2,3,80,1,8,1,720,32,1,20,16,170,6,2,1,48,2,1,21,385,12,2,24,2,8,1,126,3,
54,2,1,6,1,1,126,1,2,30,1,2,2,4,100,432,54,2,10,24,1,24,1,1,12,2,2,672,1,2,108,1,16,5,108,1,16,132,2,2,2,756,84,4,1,40,2,1,2,4,5,18,8,6,2160,1,8,1,468,5130,1,648,1,21,1,20,3,1,4,6,1053,1638,96,1,24,1,2,20,1,2,96,1,1,18,1,270,3564,1,2,1,756,1,16,1,10,5,8,
60,10,4,4,1,16,60,1,4,1,16,20,3900,24,1,1,3,240,1,7000,24,28,9,2,1,9,840,2,1,180,1,168,1,120,3,12,1,2,1,48,1,18,1,1,150,2,1,8,1,100,4,12480,6,1,12,1,30,720,1,2,1650,1,10,4,5,20800,1,6,240,12,2,1,2,120,1,24,960,6,20,2700,1,18,3,560,156,1,2,2,12,1,30,2,1,6,1,5,2,
2,126,1,1,18,1,2,84,1485,8,1,330,1,18,1,1,100,1,3762,1,2,1,168,1,270,6,1,192,12,1,12,4,2,6,2,16,3256,2,120,1,88,448,2,40,1,4,3,216,30,1,3,4,1,72,1,36,1,12,1,120,6,2,1,4,60,3,54,1,2,66,8,2,16,1,83490,5,6,3,2,1,48,1,84,42,1,16,24,24,1,420,1,63,2,2,162,72,1,
